country,year,healthy_expectancy_1995_2003
AT,1995,60.0
AT,1996,62.3
AT,1997,62.2
AT,1998,63.4
AT,1999,63.6
AT,2000,64.6
AT,2001,64.2
AT,2002,65.6
AT,2003,66.2
BE,1995,63.3
BE,1996,64.1
BE,1997,66.5
BE,1998,63.3
BE,1999,66.0
BE,2000,65.7
BE,2001,66.6
BE,2002,66.9
BE,2003,67.4
CY,2003,68.4
CZ,2002,62.8
DE,1995,60.0
DE,1996,60.8
DE,1997,61.9
DE,1998,62.1
DE,1999,62.3
DE,2000,63.2
DE,2001,64.1
DE,2002,64.4
DE,2003,65.0
DK,1995,61.6
DK,1996,61.7
DK,1997,61.6
DK,1998,62.4
DK,1999,62.5
DK,2000,62.9
DK,2001,62.2
DK,2002,62.8
DK,2003,63.0
EL,1995,65.8
EL,1996,66.9
EL,1997,66.4
EL,1998,66.5
EL,1999,66.7
EL,2000,66.3
EL,2001,66.7
EL,2002,66.7
EL,2003,66.7
ES,1995,64.2
ES,1996,65.1
ES,1997,65.5
ES,1998,65.2
ES,1999,65.6
ES,2000,66.5
ES,2001,66.0
ES,2002,66.6
ES,2003,66.8
FI,1996,54.6
FI,1997,55.5
FI,1998,55.9
FI,1999,55.8
FI,2000,56.3
FI,2001,56.7
FI,2002,57.0
FI,2003,57.3
FR,1995,60.0
FR,1996,59.6
FR,1997,60.2
FR,1998,59.2
FR,1999,60.1
FR,2000,60.1
FR,2001,60.5
FR,2002,60.4
FR,2003,60.6
HU,2003,53.5
IE,1995,63.2
IE,1996,64.0
IE,1997,63.2
IE,1998,64.0
IE,1999,63.9
IE,2000,63.3
IE,2001,63.3
IE,2002,63.5
IE,2003,63.4
IT,1995,66.7
IT,1996,67.4
IT,1997,68.0
IT,1998,67.9
IT,1999,68.7
IT,2000,69.7
IT,2001,69.8
IT,2002,70.4
IT,2003,70.9
MT,2002,65.1
NL,1995,61.1
NL,1996,62.1
NL,1997,62.5
NL,1998,61.9
NL,1999,61.6
NL,2000,61.4
NL,2001,61.9
NL,2002,61.7
NL,2003,61.7
NO,2003,66.3
PL,1996,59.9
PL,2002,62.5
PT,1995,59.6
PT,1996,58.2
PT,1997,59.3
PT,1998,59.1
PT,1999,58.8
PT,2000,60.2
PT,2001,59.5
PT,2002,59.7
PT,2003,59.8
SE,1997,62.1
SE,1998,61.7
SE,1999,62.0
SE,2000,63.1
SE,2001,61.9
SE,2002,62.4
SE,2003,62.5
UK,1995,60.6
UK,1996,60.8
UK,1997,60.9
UK,1998,60.8
UK,1999,61.2
UK,2000,61.3
UK,2001,61.1
UK,2002,61.4
UK,2003,61.5
